实验编号,参数名称,max_depth,min_samples_leaf,训练样本数,验证样本数,验证准确率,使用特征数,最重要特征,最高重要性,规则总数,覆盖样本总数,准确样本总数,平均规则准确率,总体准确率,综合评分,输出目录
1,depth2_leaf1,2,1,44,13,0.5385,2,7天平均气温,1.0000,2,32,17,0.7500,0.5312,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf1
2,depth2_leaf2,2,2,44,13,0.5385,2,7天平均气温,1.0000,2,32,17,0.7500,0.5312,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf2
3,depth2_leaf3,2,3,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf3
4,depth2_leaf4,2,4,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf4
5,depth2_leaf5,2,5,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf5
6,depth2_leaf6,2,6,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf6
7,depth2_leaf7,2,7,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf7
8,depth2_leaf8,2,8,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf8
9,depth2_leaf9,2,9,44,13,0.5385,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf9
10,depth2_leaf10,2,10,44,13,0.6923,2,7天平均气温,1.0000,1,30,15,0.5000,0.5000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth2_leaf10
11,depth3_leaf1,3,1,44,13,0.6154,3,7天日均降雨量,1.2045,5,37,27,0.9200,0.7297,27.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf1
12,depth3_leaf2,3,2,44,13,0.6154,3,7天日均降雨量,1.2045,4,37,27,0.9000,0.7297,27.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf2
13,depth3_leaf3,3,3,44,13,0.6154,3,7天日均降雨量,1.0909,3,35,25,0.8667,0.7143,25.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf3
14,depth3_leaf4,3,4,44,13,0.6154,3,7天日均降雨量,1.0909,3,35,25,0.8667,0.7143,25.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf4
15,depth3_leaf5,3,5,44,13,0.5385,3,7天平均气温,1.0000,2,30,20,0.8000,0.6667,20.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf5
16,depth3_leaf6,3,6,44,13,0.5385,3,7天平均气温,1.0000,1,25,15,0.6000,0.6000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf6
17,depth3_leaf7,3,7,44,13,0.5385,3,7天平均气温,1.0000,1,25,15,0.6000,0.6000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf7
18,depth3_leaf8,3,8,44,13,0.5385,3,7天平均气温,1.0000,1,25,15,0.6000,0.6000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf8
19,depth3_leaf9,3,9,44,13,0.5385,3,7天平均气温,1.0000,1,25,15,0.6000,0.6000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf9
20,depth3_leaf10,3,10,44,13,0.6923,3,7天平均气温,1.0000,1,25,15,0.6000,0.6000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth3_leaf10
21,depth4_leaf1,4,1,44,13,0.6154,3,7天平均气温,1.4773,7,34,26,0.9545,0.7647,26.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf1
