日期,当天平均气温,当天雨量,当天相对湿度,当天降雨时数,当天日照时数,3天平均气温,3天累积雨量,3天平均相对湿度,3天累积降雨时数,3天累积日照时数,5天平均气温,5天累积雨量,5天平均相对湿度,5天累积降雨时数,5天累积日照时数,7天平均气温,7天累积雨量,7天平均相对湿度,7天累积降雨时数,7天累积日照时数,10天平均气温,10天累积雨量,10天平均相对湿度,10天累积降雨时数,10天累积日照时数
2019-01-01,8.8,0.2,68,2,0.9,8.8,0.2,68.0,2,0.9,8.8,0.2,68.0,2,0.9,8.8,0.2,68.0,2,0.9,8.8,0.2,68.0,2,0.9
2019-01-02,8.8,0.1,79,1,0.0,8.8,0.30000000000000004,73.5,3,0.9,8.8,0.30000000000000004,73.5,3,0.9,8.8,0.30000000000000004,73.5,3,0.9,8.8,0.30000000000000004,73.5,3,0.9
2019-01-03,12.1,0.0,72,0,0.0,9.9,0.30000000000000004,73.0,3,0.9,9.9,0.30000000000000004,73.0,3,0.9,9.9,0.30000000000000004,73.0,3,0.9,9.9,0.30000000000000004,73.0,3,0.9
2019-01-04,14.2,0.4,84,1,0.0,11.699999999999998,0.5,78.33333333333333,2,0.0,10.975000000000001,0.7000000000000001,75.75,4,0.9,10.975000000000001,0.7000000000000001,75.75,4,0.9,10.975000000000001,0.7000000000000001,75.75,4,0.9
2019-01-05,,0.0,87,0,0.0,13.149999999999999,0.4,81.0,1,0.0,10.975000000000001,0.7000000000000001,78.0,4,0.9,10.975000000000001,0.7000000000000001,78.0,4,0.9,10.975000000000001,0.7000000000000001,78.0,4,0.9
2019-01-06,13.1,0.0,82,0,0.0,13.649999999999999,0.4,84.33333333333333,1,0.0,12.049999999999999,0.5,80.8,2,0.0,11.400000000000002,0.7000000000000001,78.66666666666667,4,0.9,11.400000000000002,0.7000000000000001,78.66666666666667,4,0.9
2019-01-07,15.0,0.0,82,0,0.0,14.05,0.0,83.66666666666667,0,0.0,13.6,0.4,81.4,1,0.0,12.0,0.7000000000000001,79.14285714285714,4,0.9,12.0,0.7000000000000001,79.14285714285714,4,0.9
2019-01-08,14.4,0.0,77,0,0.0,14.166666666666666,0.0,80.33333333333333,0,0.0,14.174999999999999,0.4,82.4,1,0.0,12.933333333333332,0.5,80.42857142857143,2,0.0,12.342857142857143,0.7000000000000001,78.875,4,0.9
2019-01-09,14.8,0.0,73,0,0.7,14.733333333333334,0.0,77.33333333333333,0,0.7,14.325,0.0,80.2,0,0.7,13.933333333333332,0.4,79.57142857142857,1,0.7,12.65,0.7000000000000001,78.22222222222223,4,1.6
2019-01-10,16.7,0.0,74,0,0.8,15.300000000000002,0.0,74.66666666666667,0,1.5,14.8,0.0,77.6,0,1.5,14.700000000000001,0.4,79.85714285714286,1,1.5,13.100000000000001,0.7000000000000001,77.8,4,2.4000000000000004
2019-01-11,18.6,0.0,78,0,0.0,16.7,0.0,75.0,0,1.5,15.9,0.0,76.8,0,1.5,15.433333333333332,0.0,79.0,0,1.5,14.18888888888889,0.5,78.8,2,1.5
2019-01-12,16.9,0.0,78,0,0.0,17.4,0.0,76.66666666666667,0,0.8,16.28,0.0,76.0,0,1.5,15.642857142857142,0.0,77.71428571428571,0,1.5,15.08888888888889,0.4,78.7,1,1.5
2019-01-13,18.3,0.0,78,0,0.0,17.933333333333334,0.0,78.0,0,0.0,17.06,0.0,76.2,0,1.5,16.385714285714286,0.0,77.14285714285714,0,1.5,15.777777777777779,0.4,79.3,1,1.5
2019-01-14,18.4,0.0,76,0,1.6,17.866666666666667,0.0,77.33333333333333,0,1.6,17.78,0.0,76.8,0,2.4000000000000004,16.87142857142857,0.0,76.28571428571429,0,3.1,16.244444444444444,0.0,78.5,0,3.1
2019-01-15,17.4,0.0,76,0,0.0,18.033333333333335,0.0,76.66666666666667,0,1.6,17.919999999999998,0.0,77.2,0,1.6,17.3,0.0,76.14285714285714,0,3.1,16.360000000000003,0.0,77.4,0,3.1
2019-01-16,13.5,0.0,65,0,0.0,16.433333333333334,0.0,72.33333333333333,0,1.6,16.9,0.0,74.6,0,1.6,17.114285714285717,0.0,75.0,0,2.4000000000000004,16.4,0.0,75.7,0,3.1
2019-01-17,14.3,0.0,60,0,8.1,15.066666666666668,0.0,67.0,0,8.1,16.38,0.0,71.0,0,9.7,16.77142857142857,0.0,73.0,0,9.7,16.330000000000002,0.0,73.5,0,11.2
2019-01-18,13.9,0.0,66,0,3.3,13.9,0.0,63.666666666666664,0,11.399999999999999,15.5,0.0,68.6,0,13.0,16.1,0.0,71.28571428571429,0,13.0,16.28,0.0,72.4,0,14.5
2019-01-19,18.3,0.0,67,0,5.0,15.5,0.0,64.33333333333333,0,16.4,15.48,0.0,66.8,0,16.4,16.3,0.0,69.71428571428571,0,18.0,16.630000000000003,0.0,71.8,0,18.8
2019-01-20,18.6,0.0,74,0,6.7,16.933333333333334,0.0,69.0,0,15.0,15.719999999999999,0.0,66.4,0,23.099999999999998,16.342857142857145,0.0,69.14285714285714,0,24.7,16.82,0.0,71.8,0,24.7
2019-01-21,14.3,0.0,55,0,4.2,17.066666666666666,0.0,65.33333333333333,0,15.899999999999999,15.879999999999999,0.0,64.4,0,27.299999999999997,15.757142857142856,0.0,66.14285714285714,0,27.299999999999997,16.39,0.0,69.5,0,28.9
2019-01-22,13.2,0.0,49,0,9.2,15.366666666666669,0.0,59.333333333333336,0,20.1,15.660000000000002,0.0,62.2,0,28.4,15.157142857142857,0.0,62.285714285714285,0,36.5,16.02,0.0,66.6,0,38.099999999999994
2019-01-23,13.2,0.0,47,0,9.1,13.566666666666668,0.0,50.333333333333336,0,22.5,15.520000000000001,0.0,58.4,0,34.199999999999996,15.114285714285714,0.0,59.714285714285715,0,45.6,15.509999999999996,0.0,63.5,0,47.2
2019-01-24,15.1,0.0,54,0,5.4,13.833333333333334,0.0,50.0,0,23.699999999999996,14.88,0.0,55.8,0,34.6,15.22857142857143,0.0,58.857142857142854,0,42.9,15.179999999999998,0.0,61.3,0,51.0
2019-01-25,16.5,0.0,66,0,9.0,14.933333333333332,0.0,55.666666666666664,0,23.5,14.460000000000003,0.0,54.2,0,36.9,15.6,0.0,58.857142857142854,0,48.599999999999994,15.09,0.0,60.3,0,59.99999999999999
2019-01-26,17.4,0.0,53,0,9.2,16.333333333333332,0.0,57.666666666666664,0,23.6,15.080000000000002,0.0,53.8,0,41.89999999999999,15.471428571428573,0.0,56.857142857142854,0,52.8,15.48,0.0,59.1,0,69.2
2019-01-27,15.8,0.0,49,0,8.1,16.566666666666666,0.0,56.0,0,26.299999999999997,15.6,0.0,53.8,0,40.800000000000004,15.071428571428573,0.0,53.285714285714285,0,54.199999999999996,15.63,0.0,58.0,0,69.19999999999999
2019-01-28,17.1,0.0,63,0,2.5,16.76666666666667,0.0,55.0,0,19.799999999999997,16.380000000000003,0.0,57.0,0,34.2,15.471428571428573,0.0,54.42857142857143,0,52.49999999999999,15.95,0.0,57.7,0,68.39999999999999
2019-01-29,18.0,0.0,62,0,4.8,16.96666666666667,0.0,58.0,0,15.399999999999999,16.96,0.0,58.6,0,33.599999999999994,16.157142857142855,0.0,56.285714285714285,0,48.1,15.920000000000002,0.0,57.2,0,68.19999999999999
2019-01-30,19.0,0.0,67,0,7.2,18.033333333333335,0.0,64.0,0,14.5,17.46,0.0,58.8,0,31.799999999999997,16.985714285714288,0.0,59.142857142857146,0,46.2,15.960000000000003,0.0,56.5,0,68.69999999999999
2019-01-31,20.2,0.0,71,0,4.3,19.066666666666666,0.0,66.66666666666667,0,16.3,18.020000000000003,0.0,62.4,0,26.9,17.714285714285715,0.0,61.57142857142857,0,45.099999999999994,16.55,0.0,58.1,0,68.8
2019-02-01,15.2,0.0,57,0,0.0,18.133333333333336,0.0,65.0,0,11.5,17.9,0.0,64.0,0,18.8,17.528571428571432,0.0,60.285714285714285,0,36.099999999999994,16.749999999999996,0.0,58.9,0,59.6
2019-02-02,17.4,0.0,65,0,0.0,17.599999999999998,0.0,64.33333333333333,0,4.3,17.96,0.0,64.4,0,16.3,17.528571428571432,0.0,62.0,0,26.9,17.17,0.0,60.7,0,50.5
2019-02-03,21.0,0.0,76,0,1.5,17.866666666666664,0.0,66.0,0,1.5,18.560000000000002,0.0,67.2,0,13.0,18.271428571428572,0.0,65.85714285714286,0,20.3,17.76,0.0,62.9,0,46.599999999999994
2019-02-04,21.0,0.0,79,0,4.3,19.8,0.0,73.33333333333333,0,5.8,18.96,0.0,69.6,0,10.1,18.82857142857143,0.0,68.14285714285714,0,22.1,18.21,0.0,64.2,0,41.89999999999999
2019-02-05,21.2,0.0,76,0,1.0,21.066666666666666,0.0,77.0,0,6.8,19.16,0.0,70.6,0,6.8,19.285714285714285,0.0,70.14285714285714,0,18.3,18.589999999999996,0.0,66.5,0,33.7
2019-02-06,22.9,0.0,76,0,5.1,21.7,0.0,77.0,0,10.399999999999999,20.7,0.0,74.4,0,11.899999999999999,19.842857142857145,0.0,71.42857142857143,0,16.2,19.3,0.0,69.2,0,30.700000000000003
2019-02-07,22.4,0.0,80,0,1.4,22.166666666666668,0.0,77.33333333333333,0,7.5,21.7,0.0,77.4,0,13.299999999999999,20.157142857142855,0.0,72.71428571428571,0,13.299999999999999,19.830000000000002,0.0,70.9,0,29.6
2019-02-08,22.9,0.0,77,0,1.8,22.73333333333333,0.0,77.66666666666667,0,8.3,22.080000000000002,0.0,77.6,0,13.6,21.25714285714286,0.0,75.57142857142857,0,15.1,20.32,0.0,72.4,0,26.599999999999998
2019-02-09,19.9,0.8,79,2,0.0,21.73333333333333,0.8,78.66666666666667,2,3.2,21.860000000000003,0.8,77.6,2,9.3,21.614285714285717,0.8,77.57142857142857,2,15.1,20.410000000000004,0.8,73.6,2,19.400000000000002
2019-02-10,14.7,0.4,87,3,0.0,19.166666666666668,1.2000000000000002,81.0,5,1.8,20.56,1.2000000000000002,79.8,5,8.3,20.714285714285715,1.2000000000000002,79.14285714285714,5,13.6,19.86,1.2000000000000002,75.2,5,15.100000000000001
2019-02-11,11.9,0.1,80,1,0.0,15.499999999999998,1.3000000000000003,82.0,6,0.0,18.36,1.3000000000000003,80.6,6,3.2,19.414285714285715,1.3000000000000003,79.28571428571429,6,9.3,19.529999999999998,1.3000000000000003,77.5,6,15.100000000000001
2019-02-12,17.2,0.0,70,0,3.9,14.6,0.5,79.0,4,3.9,17.32,1.3000000000000003,78.6,6,5.7,18.842857142857145,1.3000000000000003,78.42857142857143,6,12.200000000000001,19.509999999999998,1.3000000000000003,78.0,6,18.999999999999996
2019-02-13,20.3,0.0,75,0,0.0,16.46666666666667,0.1,75.0,1,3.9,16.799999999999997,1.3000000000000003,78.2,6,3.9,18.47142857142857,1.3000000000000003,78.28571428571429,6,7.1,19.44,1.3,77.9,6,17.5
2019-02-14,20.8,0.0,80,0,3.7,19.433333333333334,0.0,75.0,0,7.6,16.979999999999997,0.5,78.4,4,7.6,18.242857142857144,1.3000000000000003,78.28571428571429,6,9.4,19.42,1.3000000000000003,78.0,6,16.900000000000002
2019-02-15,20.9,0.1,79,1,0.0,20.666666666666668,0.1,78.0,1,3.7,18.22,0.2,76.8,2,7.6,17.957142857142856,1.4000000000000004,78.57142857142857,7,7.6,19.39,1.4000000000000001,78.3,7,15.900000000000002
2019-02-16,22.5,0.0,75,0,2.9,21.400000000000002,0.1,78.0,1,6.6,20.339999999999996,0.1,75.8,1,10.5,18.328571428571426,0.6,78.0,5,10.5,19.35,1.4000000000000004,78.2,7,13.700000000000001
2019-02-17,16.6,0.0,75,0,0.0,20.0,0.1,76.33333333333333,1,2.9,20.22,0.1,76.8,1,6.6,18.599999999999998,0.2,76.28571428571429,2,10.5,18.770000000000003,1.4000000000000001,77.7,7,12.3
2019-02-18,16.2,36.2,86,12,0.0,18.433333333333334,36.2,78.66666666666667,12,2.9,19.400000000000002,36.300000000000004,79.0,13,6.6,19.21428571428571,36.300000000000004,77.14285714285714,13,10.5,18.099999999999998,37.6,78.6,19,10.5
2019-02-19,18.5,3.3,90,4,0.0,17.099999999999998,39.5,83.66666666666667,16,0.0,18.94,39.6,81.0,17,2.9,19.400000000000002,39.6,80.0,17,6.6,17.96,40.1,79.7,21,10.5
2019-02-20,22.2,0.0,90,0,1.4,18.96666666666667,39.5,88.66666666666667,16,1.4,19.2,39.5,83.2,16,4.3,19.671428571428574,39.6,82.14285714285714,17,8.0,18.709999999999997,39.7,80.0,18,11.9
2019-02-21,20.6,53.0,89,6,0.0,20.433333333333334,56.3,89.66666666666667,10,1.4,18.82,92.5,86.0,22,1.4,19.642857142857142,92.6,83.42857142857143,23,4.3,19.58,92.6,80.9,23,11.9
2019-02-22,15.2,12.5,74,2,5.1,19.333333333333332,65.5,84.33333333333333,8,6.5,18.54,105.0,85.8,24,6.5,18.828571428571426,105.0,82.71428571428571,24,9.399999999999999,19.38,105.1,81.3,25,13.1
2019-02-23,12.0,13.7,84,13,0.0,15.933333333333332,79.2,82.33333333333333,21,5.1,17.7,82.5,85.4,25,6.5,17.32857142857143,118.7,84.0,37,6.5,18.55,118.8,82.2,38,13.1
2019-02-24,12.1,5.4,82,9,0.0,13.1,31.6,80.0,24,5.1,16.419999999999998,84.60000000000001,83.8,30,6.5,16.685714285714287,124.10000000000001,85.0,46,6.5,17.68,124.2,82.4,47,9.4
2019-02-25,12.7,0.0,77,0,0.0,12.266666666666666,19.1,81.0,22,0.0,14.52,84.60000000000001,81.2,30,5.1,16.185714285714287,87.9,83.71428571428571,34,6.5,16.86,124.10000000000001,82.2,46,9.4
2019-02-26,14.1,0.5,89,5,0.0,12.966666666666667,5.9,82.66666666666667,14,0.0,13.219999999999999,32.1,81.2,29,5.1,15.557142857142855,85.10000000000001,83.57142857142857,35,6.5,16.02,124.6,83.6,51,6.5
2019-02-27,18.6,0.0,88,0,0.0,15.133333333333333,0.5,84.66666666666667,5,0.0,13.9,19.6,84.0,27,0.0,15.042857142857141,85.10000000000001,83.28571428571429,35,5.1,16.22,124.6,84.9,51,6.5
2019-02-28,19.5,0.0,85,0,0.0,17.400000000000002,0.5,87.33333333333333,5,0.0,15.4,5.9,84.2,14,0.0,14.885714285714284,32.1,82.71428571428571,29,5.1,16.55,88.4,84.8,39,6.5
2019-03-01,20.3,0.0,77,0,0.0,19.46666666666667,0.0,83.33333333333333,0,0.0,17.04,0.5,83.2,5,0.0,15.614285714285714,19.6,83.14285714285714,27,0.0,16.73,85.10000000000001,83.5,35,6.5
2019-03-02,21.4,3.4,85,4,0.0,20.4,3.4,82.33333333333333,4,0.0,18.78,3.9,84.8,9,0.0,16.957142857142856,9.3,83.28571428571429,18,0.0,16.650000000000002,88.5,83.0,39,5.1
