实验编号,参数名称,max_depth,min_samples_leaf,使用特征数,最重要特征,最高重要性,规则总数,输出目录
1,depth3_leaf5,3,5,失败,失败,失败,失败,analysis_1104_batch\analysis_depth3_leaf5
2,depth4_leaf3,4,3,失败,失败,失败,失败,analysis_1104_batch\analysis_depth4_leaf3
3,depth4_leaf2,4,2,失败,失败,失败,失败,analysis_1104_batch\analysis_depth4_leaf2
4,depth5_leaf3,5,3,失败,失败,失败,失败,analysis_1104_batch\analysis_depth5_leaf3
5,depth5_leaf2,5,2,失败,失败,失败,失败,analysis_1104_batch\analysis_depth5_leaf2
6,depth6_leaf3,6,3,失败,失败,失败,失败,analysis_1104_batch\analysis_depth6_leaf3
7,depth6_leaf2,6,2,失败,失败,失败,失败,analysis_1104_batch\analysis_depth6_leaf2
8,depth7_leaf3,7,3,失败,失败,失败,失败,analysis_1104_batch\analysis_depth7_leaf3
9,depth7_leaf2,7,2,失败,失败,失败,失败,analysis_1104_batch\analysis_depth7_leaf2
10,depth5_leaf5,5,5,失败,失败,失败,失败,analysis_1104_batch\analysis_depth5_leaf5
